device,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0,0,0.952380952381,1.0,0.875,0.941176470588,0.933333333333,1.0,1.0,0.916666666667,0.933333333333,1.0,1.0,1.0,0.846153846154,0.95652173913,0.903225806452,0.969696969697,0.965517241379,1.0,0.916666666667,12,15,16,14,14,13,11,0,1,0,0,0,0,14,0,1,0,0,0,0,16,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,2,0,0,0,11
0,0,6,0.869047619048,0.833333333333,1.0,0.695652173913,0.888888888889,1.0,0.923076923077,0.454545454545,0.9375,0.941176470588,1.0,0.818181818182,0.923076923077,0.588235294118,0.967741935484,0.8,0.941176470588,0.9,0.923076923077,11,16,17,16,11,13,5,0,6,0,0,0,0,15,0,0,0,1,1,0,16,0,0,0,0,0,0,16,0,0,0,0,0,2,9,0,0,0,1,0,0,12
0,0,1,0.595238095238,1.0,0.944444444444,0.444444444444,0.583333333333,0.4,0.357142857143,0.411764705882,0.944444444444,0.533333333333,0.7,0.6,0.357142857143,0.583333333333,0.944444444444,0.484848484848,0.636363636364,0.48,0.357142857143,17,18,15,10,10,14,7,0,7,1,0,2,0,17,0,0,1,0,0,0,8,4,0,3,0,0,0,7,2,1,0,0,1,0,6,3,0,1,2,0,6,5
0,0,5,0.690476190476,0.636363636364,0.928571428571,0.647058823529,0.8,0.5,0.6,0.583333333333,0.928571428571,0.647058823529,0.923076923077,0.461538461538,0.6,0.608695652174,0.928571428571,0.647058823529,0.857142857143,0.48,0.6,12,14,17,13,13,15,7,0,5,0,0,0,0,13,0,1,0,0,4,0,11,0,0,2,0,0,0,12,1,0,0,1,0,2,6,4,0,0,1,0,5,9
0,1,0,0.928571428571,1.0,0.8125,0.9375,0.909090909091,0.916666666667,1.0,1.0,0.928571428571,0.9375,1.0,0.916666666667,0.823529411765,1.0,0.866666666667,0.9375,0.952380952381,0.916666666667,0.903225806452,15,14,16,10,12,17,15,0,0,0,0,0,0,13,0,0,1,0,0,1,15,0,0,0,0,0,0,10,0,0,0,1,0,0,11,0,0,1,1,1,0,14
0,1,6,0.809523809524,1.0,0.933333333333,0.882352941176,0.875,0.75,0.529411764706,1.0,0.875,0.75,0.823529411765,0.642857142857,0.9,1.0,0.903225806452,0.810810810811,0.848484848485,0.692307692308,0.666666666667,7,16,20,17,14,10,7,0,0,0,0,0,0,14,2,0,0,0,0,0,15,0,0,5,0,0,0,14,3,0,0,0,0,2,9,3,0,1,0,0,0,9
0,1,1,0.678571428571,0.9,1.0,0.578947368421,0.615384615385,0.833333333333,0.5,0.9,0.857142857143,0.578947368421,0.615384615385,0.625,0.6,0.9,0.923076923077,0.578947368421,0.615384615385,0.714285714286,0.545454545455,10,14,19,13,8,20,9,0,0,0,1,0,0,12,1,0,0,1,0,0,11,1,0,7,0,0,2,8,0,3,1,0,0,1,5,1,0,0,5,3,0,12
0,1,5,0.642857142857,0.642857142857,0.866666666667,0.6,0.411764705882,0.714285714286,0.727272727273,0.9,1.0,0.857142857143,0.466666666667,0.357142857143,0.444444444444,0.75,0.928571428571,0.705882352941,0.4375,0.47619047619,0.551724137931,10,13,14,15,14,18,9,0,1,0,0,0,0,13,0,0,0,0,0,0,12,0,1,1,0,2,4,7,1,1,5,0,0,3,5,1,0,0,3,7,0,8
0,2,0,0.952380952381,1.0,0.9375,0.947368421053,0.923076923077,1.0,0.95,0.888888888889,1.0,0.9,1.0,1.0,0.95,0.941176470588,0.967741935484,0.923076923077,0.96,1.0,0.95,9,15,20,12,8,20,8,0,1,0,0,0,0,15,0,0,0,0,0,1,18,0,0,1,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,1,0,19
0,2,6,0.583333333333,0.785714285714,0.416666666667,0.666666666667,0.636363636364,0.5,0.5,1.0,0.454545454545,0.588235294118,0.368421052632,0.636363636364,0.6,0.88,0.434782608696,0.625,0.466666666667,0.56,0.545454545455,11,11,17,19,11,15,11,0,0,0,0,0,2,5,1,0,0,3,1,2,10,0,0,4,0,3,0,7,7,2,0,0,0,4,7,0,0,2,4,0,0,9
0,2,1,0.654761904762,0.933333333333,0.411764705882,0.857142857143,0.571428571429,0.5,0.7,1.0,0.583333333333,0.75,0.571428571429,0.538461538462,0.466666666667,0.965517241379,0.48275862069,0.8,0.571428571429,0.518518518519,0.56,14,12,16,14,13,15,14,0,0,0,0,0,0,7,1,1,3,0,0,1,12,0,0,3,0,3,0,8,3,0,0,1,0,5,7,0,1,5,1,0,1,7
0,2,5,0.595238095238,0.9,0.647058823529,0.444444444444,0.5,0.692307692308,0.466666666667,1.0,0.611111111111,0.333333333333,0.714285714286,0.5625,0.466666666667,0.947368421053,0.628571428571,0.380952380952,0.588235294118,0.620689655172,0.466666666667,9,18,12,14,16,15,9,0,0,0,0,0,0,11,0,3,1,3,1,2,4,0,0,5,0,1,0,10,3,0,0,1,0,6,9,0,0,2,5,1,0,7
0,3,0,0.97619047619,1.0,1.0,0.944444444444,0.923076923077,1.0,1.0,0.9,1.0,1.0,1.0,0.909090909091,1.0,0.947368421053,1.0,0.971428571429,0.96,0.952380952381,1.0,10,21,17,12,11,13,9,0,1,0,0,0,0,21,0,0,0,0,0,0,17,0,0,0,0,0,0,12,0,0,0,0,0,1,10,0,0,0,0,0,0,13
0,3,6,0.916666666667,1.0,1.0,1.0,1.0,0.928571428571,0.647058823529,1.0,0.909090909091,0.869565217391,1.0,0.866666666667,0.916666666667,1.0,0.952380952381,0.93023255814,1.0,0.896551724138,0.758620689655,8,11,23,15,15,12,8,0,0,0,0,0,0,10,0,0,0,1,0,0,20,0,0,3,0,0,0,15,0,0,0,0,0,0,13,2,0,0,0,0,1,11
0,3,1,0.880952380952,1.0,1.0,0.764705882353,0.923076923077,0.909090909091,0.789473684211,1.0,0.823529411765,0.866666666667,1.0,0.909090909091,0.789473684211,1.0,0.903225806452,0.8125,0.96,0.909090909091,0.789473684211,10,17,15,12,11,19,10,0,0,0,0,0,0,14,0,1,1,1,0,0,13,0,0,2,0,0,0,12,0,0,0,0,0,0,10,1,0,0,4,0,0,15
