source,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,0,0,0.988095238095,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.954545454545,1.0,0.947368421053,1.0,1.0,1.0,0.976744186047,10,9,17,16,10,22,10,0,0,0,0,0,0,9,0,0,0,0,0,0,17,0,0,0,0,0,0,16,0,0,0,0,0,0,10,0,0,1,0,0,0,21
0,1,0,6,0.321428571429,0.0,0.326086956522,0.0,0.0,0.307692307692,0.333333333333,0.0,1.0,0.0,0.0,1.0,0.222222222222,0.0,0.491803278689,0.0,0.0,0.470588235294,0.266666666667,9,15,17,17,8,18,0,9,0,0,0,0,0,15,0,0,0,0,0,9,0,0,0,8,0,0,0,0,17,0,0,0,0,0,8,0,0,13,0,0,1,4
0,1,0,1,0.154761904762,0.0793650793651,0.380952380952,0.0,0.0,0.0,0.0,0.454545454545,0.444444444444,0.0,0.0,0.0,0.0,0.135135135135,0.410256410256,0.0,0.0,0.0,0.0,11,18,20,14,11,10,5,6,0,0,0,0,10,8,0,0,0,0,20,0,0,0,0,0,14,0,0,0,0,0,4,7,0,0,0,0,10,0,0,0,0,0
0,1,0,5,0.130952380952,0.130952380952,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.231578947368,0.0,0.0,0.0,0.0,0.0,11,14,12,16,12,19,11,0,0,0,0,0,14,0,0,0,0,0,12,0,0,0,0,0,16,0,0,0,0,0,12,0,0,0,0,0,19,0,0,0,0,0
0,1,1,0,0.952380952381,1.0,1.0,0.894736842105,0.941176470588,1.0,0.9375,0.888888888889,0.941176470588,1.0,0.941176470588,1.0,0.9375,0.941176470588,0.969696969697,0.944444444444,0.941176470588,1.0,0.9375,9,17,17,17,8,16,8,0,1,0,0,0,0,16,0,1,0,0,0,0,17,0,0,0,0,0,0,16,0,1,0,0,0,0,8,0,0,0,1,0,0,15
0,1,1,6,0.690476190476,0.533333333333,0.652173913043,1.0,1.0,0.818181818182,0.4375,1.0,1.0,0.0833333333333,0.9,0.5625,0.538461538462,0.695652173913,0.789473684211,0.153846153846,0.947368421053,0.666666666667,0.48275862069,8,15,12,20,16,13,8,0,0,0,0,0,0,15,0,0,0,0,0,2,1,0,0,9,0,0,0,18,2,0,7,0,0,0,9,0,0,6,0,0,0,7
0,1,1,1,0.333333333333,0.518518518519,0.25,0.0,0.5,0.0,0.272727272727,0.933333333333,1.0,0.0,0.0833333333333,0.0,0.166666666667,0.666666666667,0.4,0.0,0.142857142857,0.0,0.206896551724,15,10,15,12,14,18,14,0,1,0,0,0,0,10,0,0,0,0,0,9,0,1,0,5,0,7,0,1,1,3,13,1,0,0,0,0,0,13,2,0,0,3
0,1,1,5,0.25,0.769230769231,0.161764705882,0.0,0.0,0.0,0.0,0.909090909091,0.916666666667,0.0,0.0,0.0,0.0,0.833333333333,0.275,0.0,0.0,0.0,0.0,11,12,15,18,9,19,10,0,1,0,0,0,0,11,0,1,0,0,0,15,0,0,0,0,0,17,1,0,0,0,3,6,0,0,0,0,0,19,0,0,0,0
0,1,2,0,0.97619047619,1.0,0.9375,1.0,0.928571428571,1.0,1.0,1.0,0.9375,0.923076923077,1.0,1.0,1.0,1.0,0.9375,0.96,0.962962962963,1.0,1.0,12,16,13,13,10,20,12,0,0,0,0,0,0,15,0,1,0,0,0,1,12,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,0,0,20
0,1,2,6,0.119047619048,0.115942028986,0.0,0.133333333333,0.0,0.0,0.0,1.0,0.0,0.133333333333,0.0,0.0,0.0,0.207792207792,0.0,0.133333333333,0.0,0.0,0.0,8,13,15,12,13,23,8,0,0,0,0,0,13,0,0,0,0,0,13,0,2,0,0,0,12,0,0,0,0,0,10,0,3,0,0,0,13,0,10,0,0,0
