source,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,0,0,0.964285714286,0.846153846154,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,0.916666666667,1.0,0.896551724138,1.0,1.0,0.967741935484,11,15,16,17,10,15,11,0,0,0,0,0,0,15,0,0,0,0,2,0,13,0,0,1,0,0,0,17,0,0,0,0,0,0,10,0,0,0,0,0,0,15
0,1,1,0,0.261904761905,0.0,0.189189189189,0.0,0.8,0.0,0.0,0.0,0.933333333333,0.0,1.0,0.0,0.0,0.0,0.314606741573,0.0,0.888888888889,0.0,0.0,9,15,23,8,12,17,0,9,0,0,0,0,0,14,0,1,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,16,0,1,0,0
0,1,3,0,0.97619047619,1.0,1.0,1.0,1.0,0.857142857143,1.0,1.0,0.923076923077,1.0,0.947368421053,1.0,1.0,1.0,0.96,1.0,0.972972972973,0.923076923077,1.0,12,13,18,19,12,10,12,0,0,0,0,0,0,12,0,0,1,0,0,0,18,0,0,0,0,0,0,18,1,0,0,0,0,0,12,0,0,0,0,0,0,10
0,2,0,0,0.97619047619,1.0,1.0,0.947368421053,1.0,1.0,0.9375,0.909090909091,1.0,0.947368421053,1.0,1.0,1.0,0.952380952381,1.0,0.947368421053,1.0,1.0,0.967741935484,11,13,19,14,12,15,10,0,1,0,0,0,0,13,0,0,0,0,0,0,18,0,0,1,0,0,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,15
0,2,1,0,0.904761904762,1.0,0.578947368421,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.958333333333,1.0,0.733333333333,1.0,1.0,0.0,0.978723404255,15,11,17,10,7,24,15,0,0,0,0,0,0,11,0,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,1,0,0,0,23
0,2,3,0,0.952380952381,0.9,1.0,0.941176470588,1.0,0.9,0.941176470588,1.0,0.9375,0.941176470588,0.9375,1.0,0.941176470588,0.947368421053,0.967741935484,0.941176470588,0.967741935484,0.947368421053,0.941176470588,9,16,17,16,9,17,9,0,0,0,0,0,0,15,0,0,1,0,1,0,16,0,0,0,0,0,0,15,0,1,0,0,0,0,9,0,0,0,1,0,0,16
0,3,0,0,0.964285714286,0.909090909091,1.0,1.0,0.882352941176,1.0,1.0,1.0,0.933333333333,0.944444444444,1.0,0.909090909091,1.0,0.952380952381,0.965517241379,0.971428571429,0.9375,0.952380952381,1.0,10,15,18,15,11,15,10,0,0,0,0,0,0,14,0,1,0,0,1,0,17,0,0,0,0,0,0,15,0,0,0,0,0,1,10,0,0,0,0,0,0,15
0,3,1,0,0.690476190476,1.0,0.375,1.0,1.0,0.0,0.941176470588,1.0,0.9375,1.0,0.230769230769,0.0,1.0,1.0,0.535714285714,1.0,0.375,0.0,0.969696969697,7,16,17,13,15,16,7,0,0,0,0,0,0,15,0,0,0,1,0,0,17,0,0,0,0,10,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,16
0,3,3,0,0.916666666667,1.0,0.923076923077,0.95652173913,0.833333333333,0.9,0.9,0.909090909091,0.923076923077,0.916666666667,0.9375,0.9,0.9,0.952380952381,0.923076923077,0.936170212766,0.882352941176,0.9,0.9,11,13,24,16,10,10,10,0,1,0,0,0,0,12,0,1,0,0,0,1,22,0,0,1,0,0,0,15,1,0,0,0,0,1,9,0,0,0,0,1,0,9
1,0,0,0,0.845238095238,0.0,1.0,0.653846153846,0.928571428571,0.785714285714,1.0,0.0,0.769230769231,1.0,1.0,1.0,0.952380952381,0.0,0.869565217391,0.790697674419,0.962962962963,0.88,0.975609756098,9,13,17,13,11,21,0,0,9,0,0,0,0,10,0,0,3,0,0,0,17,0,0,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,1,0,20
