device,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0,0,0.9625,0.9,0.9375,0.947368421053,1.0,1.0,1.0,1.0,1.0,1.0,0.866666666667,1.0,0.923076923077,0.947368421053,0.967741935484,0.972972972973,0.928571428571,1.0,0.96,9,15,18,15,10,13,9,0,0,0,0,0,0,15,0,0,0,0,0,0,18,0,0,0,0,1,1,13,0,0,0,0,0,0,10,0,1,0,0,0,0,12
0,0,6,0.625,0.666666666667,0.875,0.8,0.458333333333,1.0,0.5,0.5,0.411764705882,0.444444444444,0.846153846154,1.0,0.846153846154,0.571428571429,0.56,0.571428571429,0.594594594595,1.0,0.628571428571,12,17,18,13,7,13,6,0,0,5,0,1,2,7,0,1,0,7,0,0,8,7,0,3,0,0,2,11,0,0,0,0,0,0,7,0,1,1,0,0,0,11
0,0,1,0.75,0.666666666667,0.916666666667,0.590909090909,0.615384615385,0.875,0.894736842105,0.8,0.55,0.928571428571,0.533333333333,1.0,0.894736842105,0.727272727273,0.6875,0.722222222222,0.571428571429,0.933333333333,0.894736842105,5,20,14,15,7,19,4,0,1,0,0,0,1,11,2,3,1,2,0,0,13,1,0,0,1,0,6,8,0,0,0,0,0,0,7,0,0,1,0,1,0,17
0,0,5,0.65,0.9,0.857142857143,0.647058823529,0.454545454545,0.6,0.5,0.75,0.75,0.647058823529,0.454545454545,1.0,0.5,0.818181818182,0.8,0.647058823529,0.454545454545,0.75,0.5,12,16,17,11,6,18,9,0,0,2,0,1,1,12,0,0,1,2,0,0,11,2,0,4,0,0,4,5,0,2,0,0,0,0,6,0,0,2,2,2,3,9
0,1,0,0.9625,1.0,1.0,0.875,1.0,1.0,0.952380952381,1.0,0.928571428571,1.0,0.857142857143,1.0,1.0,1.0,0.962962962963,0.933333333333,0.923076923077,1.0,0.975609756098,12,14,14,14,6,20,12,0,0,0,0,0,0,13,0,0,0,1,0,0,14,0,0,0,0,0,2,12,0,0,0,0,0,0,6,0,0,0,0,0,0,20
0,1,6,0.75,1.0,1.0,0.588235294118,0.4,0.8,0.814814814815,0.777777777778,0.818181818182,0.526315789474,0.363636363636,1.0,1.0,0.875,0.9,0.555555555556,0.380952380952,0.888888888889,0.897959183673,9,11,19,11,8,22,7,0,0,0,2,0,0,9,0,1,0,1,0,0,10,5,0,4,0,0,7,4,0,0,0,0,0,0,8,0,0,0,0,0,0,22
0,1,1,0.875,1.0,0.9375,0.545454545455,0.875,1.0,0.863636363636,0.944444444444,0.882352941176,0.75,0.636363636364,1.0,0.95,0.971428571429,0.909090909091,0.631578947368,0.736842105263,1.0,0.904761904762,18,17,8,11,6,20,17,0,0,0,0,1,0,15,1,0,0,1,0,0,6,1,0,1,0,0,4,7,0,0,0,0,0,0,6,0,0,1,0,0,0,19
0,1,5,0.725,1.0,0.8,0.684210526316,0.6,0.9,0.529411764706,0.9,0.8,0.8125,0.428571428571,0.818181818182,0.642857142857,0.947368421053,0.8,0.742857142857,0.5,0.857142857143,0.58064516129,10,15,16,14,11,14,9,0,0,0,1,0,0,12,2,1,0,0,0,0,13,1,0,2,0,0,4,6,0,4,0,0,0,0,9,2,0,3,0,2,0,9
0,2,0,0.9375,0.909090909091,1.0,0.857142857143,0.882352941176,1.0,1.0,0.833333333333,0.928571428571,0.923076923077,0.9375,1.0,1.0,0.869565217391,0.962962962963,0.888888888889,0.909090909091,1.0,1.0,12,14,13,16,5,20,10,0,1,1,0,0,0,13,0,1,0,0,1,0,12,0,0,0,0,0,1,15,0,0,0,0,0,0,5,0,0,0,0,0,0,20
0,2,6,0.6625,0.5,0.615384615385,0.75,0.545454545455,0.727272727273,0.846153846154,0.666666666667,0.470588235294,0.75,0.545454545455,0.727272727273,0.846153846154,0.571428571429,0.533333333333,0.75,0.545454545455,0.727272727273,0.846153846154,12,17,16,11,11,13,8,1,0,3,0,0,5,8,0,0,3,1,1,0,12,2,0,1,2,0,3,6,0,0,0,3,0,0,8,0,0,1,1,0,0,11
