device,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0,0,0.8625,0.75,1.0,1.0,0.722222222222,0.888888888889,0.944444444444,1.0,0.428571428571,0.866666666667,0.928571428571,1.0,1.0,0.857142857143,0.6,0.928571428571,0.8125,0.941176470588,0.971428571429,12,14,15,14,8,17,12,0,0,0,0,0,1,6,0,5,1,1,2,0,13,0,0,0,1,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,17
0,0,1,0.475,0.833333333333,0.75,0.818181818182,0.0,0.0,0.327272727273,0.5,0.4,0.5625,0.0,0.0,0.947368421053,0.625,0.521739130435,0.666666666667,0.0,0.0,0.486486486486,10,15,16,11,9,19,5,1,0,0,0,4,1,6,0,0,0,8,0,0,9,0,0,7,0,0,2,0,0,9,0,0,0,0,0,9,0,1,0,0,0,18
0,0,2,0.9125,0.882352941176,1.0,1.0,0.909090909091,0.428571428571,1.0,1.0,0.666666666667,0.888888888889,1.0,1.0,1.0,0.9375,0.8,0.941176470588,0.952380952381,0.6,1.0,15,15,18,10,3,19,15,0,0,0,0,0,1,10,0,0,4,0,1,0,16,1,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,19
0,0,3,0.3375,0.384615384615,0.384615384615,0.5,0.333333333333,0.0,0.193548387097,0.333333333333,0.238095238095,0.625,0.125,0.0,0.6,0.357142857143,0.294117647059,0.555555555556,0.181818181818,0.0,0.292682926829,15,21,16,8,10,10,5,4,2,0,0,4,4,5,2,0,0,10,1,3,10,1,0,1,0,1,4,1,0,2,2,0,0,0,0,8,1,0,2,1,0,6
0,1,0,0.9625,1.0,0.888888888889,1.0,0.909090909091,1.0,1.0,1.0,1.0,0.928571428571,1.0,0.8,1.0,1.0,0.941176470588,0.962962962963,0.952380952381,0.888888888889,1.0,10,16,14,10,10,20,10,0,0,0,0,0,0,16,0,0,0,0,0,0,13,1,0,0,0,0,0,10,0,0,0,2,0,0,8,0,0,0,0,0,0,20
0,1,1,0.7375,1.0,1.0,0.51724137931,0.5,1.0,0.6,1.0,0.625,1.0,0.0909090909091,1.0,0.642857142857,1.0,0.769230769231,0.681818181818,0.153846153846,1.0,0.620689655172,14,16,15,11,10,14,14,0,0,0,0,0,0,10,0,0,0,6,0,0,15,0,0,0,0,0,10,1,0,0,0,0,0,0,10,0,0,0,4,1,0,9
0,1,2,0.9,1.0,1.0,0.636363636364,0.882352941176,1.0,0.846153846154,1.0,0.842105263158,0.875,1.0,1.0,0.733333333333,1.0,0.914285714286,0.736842105263,0.9375,1.0,0.785714285714,13,19,8,15,10,15,13,0,0,0,0,0,0,16,0,2,0,1,0,0,7,0,0,1,0,0,0,15,0,0,0,0,0,0,10,0,0,0,4,0,0,11
0,1,3,0.625,0.846153846154,0.666666666667,0.48,0.333333333333,0.666666666667,0.666666666667,0.6875,0.666666666667,0.923076923077,0.0588235294118,0.833333333333,0.769230769231,0.758620689655,0.666666666667,0.631578947368,0.1,0.740740740741,0.714285714286,16,9,13,17,12,13,11,1,0,0,3,1,0,6,0,0,0,3,0,0,12,1,0,0,0,2,12,1,1,1,2,0,0,0,10,0,0,0,1,1,1,10
0,2,0,0.975,1.0,1.0,1.0,0.857142857143,1.0,1.0,0.928571428571,1.0,1.0,1.0,1.0,0.941176470588,0.962962962963,1.0,1.0,0.923076923077,1.0,0.969696969697,14,11,16,12,10,17,13,0,0,1,0,0,0,11,0,0,0,0,0,0,16,0,0,0,0,0,0,12,0,0,0,0,0,0,10,0,0,0,0,1,0,16
0,2,1,0.6875,0.769230769231,0.48,0.7,0.625,1.0,0.833333333333,0.666666666667,0.857142857143,0.636363636364,0.454545454545,0.461538461538,0.9375,0.714285714286,0.615384615385,0.666666666667,0.526315789474,0.631578947368,0.882352941176,15,14,11,11,13,16,10,3,0,1,0,1,1,12,1,0,0,0,0,0,7,2,0,2,2,2,2,5,0,0,0,7,0,0,6,0,0,1,0,0,0,15
