source,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,0,0,0.375,0.727272727273,0.333333333333,0.272727272727,0.333333333333,0.0,0.357142857143,0.615384615385,0.466666666667,0.5,0.4,0.0,0.3125,0.666666666667,0.388888888889,0.352941176471,0.363636363636,0.0,0.333333333333,13,15,12,10,14,16,8,4,1,0,0,0,0,7,3,4,0,1,1,1,6,2,0,2,0,2,4,4,0,0,1,6,1,0,0,6,1,1,7,2,0,5
0,1,0,1,0.4125,0.875,0.615384615385,0.0,0.444444444444,0.166666666667,0.302325581395,0.5,0.470588235294,0.0,0.5,0.166666666667,0.866666666667,0.636363636364,0.533333333333,0.0,0.470588235294,0.166666666667,0.448275862069,14,17,20,8,6,15,7,1,0,0,3,3,1,8,0,4,0,4,0,2,0,1,0,17,0,1,1,4,0,2,0,1,0,0,1,4,0,0,0,0,2,13
0,1,1,0,0.2875,0.0,0.37037037037,0.181818181818,0.666666666667,0.25,0.15,0.0,0.833333333333,0.133333333333,0.235294117647,0.571428571429,0.230769230769,0.0,0.512820512821,0.153846153846,0.347826086957,0.347826086957,0.181818181818,16,12,15,17,7,13,0,12,0,0,4,0,0,10,0,0,1,1,0,0,2,2,0,11,0,0,9,4,0,4,0,2,0,0,4,1,0,3,0,0,7,3
0,1,1,1,0.325,0.75,0.260869565217,0.6,0.0,1.0,0.0,0.25,1.0,0.2,0.0,0.222222222222,0.0,0.375,0.413793103448,0.3,0.0,0.363636363636,0.0,12,18,15,9,9,17,3,9,0,0,0,0,0,18,0,0,0,0,0,12,3,0,0,0,0,7,2,0,0,0,0,7,0,0,2,0,1,16,0,0,0,0
0,2,0,0,0.2,1.0,0.0,0.152542372881,0.125,0.0,0.0,0.625,0.0,0.818181818182,0.166666666667,0.0,0.0,0.769230769231,0.0,0.257142857143,0.142857142857,0.0,0.0,8,19,11,12,6,24,5,0,3,0,0,0,0,0,14,5,0,0,0,0,9,2,0,0,0,0,10,2,0,0,0,0,6,0,0,0,0,0,17,7,0,0
0,2,0,1,0.35,1.0,0.333333333333,0.219512195122,0.0,0.0,0.44,0.454545454545,0.25,0.642857142857,0.0,0.0,0.578947368421,0.625,0.285714285714,0.327272727273,0.0,0.0,0.5,11,12,14,15,9,19,5,3,1,0,0,2,0,3,6,0,0,3,0,0,9,0,0,5,0,2,11,0,0,2,0,0,7,0,0,2,0,1,7,0,0,11
0,2,1,0,0.55,1.0,0.34,0.785714285714,1.0,1.0,1.0,0.4,0.944444444444,0.733333333333,0.454545454545,0.142857142857,0.315789473684,0.571428571429,0.5,0.758620689655,0.625,0.25,0.48,10,18,15,11,7,19,4,6,0,0,0,0,0,17,1,0,0,0,0,4,11,0,0,0,0,5,1,5,0,0,0,6,0,0,1,0,0,12,1,0,0,6
0,2,1,1,0.1625,0.157894736842,0.25,0.0,0.0,0.0,0.0,1.0,0.0666666666667,0.0,0.0,0.0,0.0,0.272727272727,0.105263157895,0.0,0.0,0.0,0.0,12,15,9,12,10,22,12,0,0,0,0,0,14,1,0,0,0,0,9,0,0,0,0,0,9,3,0,0,0,0,10,0,0,0,0,0,22,0,0,0,0,0
0,3,0,0,0.1,0.0,0.444444444444,0.0,0.0,0.0571428571429,0.0,0.0,0.190476190476,0.0,0.0,0.444444444444,0.0,0.0,0.266666666667,0.0,0.0,0.101265822785,0.0,13,21,9,12,9,16,0,1,0,0,12,0,0,4,0,0,17,0,0,0,0,0,9,0,0,0,0,0,12,0,0,4,0,0,4,1,0,0,0,0,16,0
0,3,0,1,0.25,0.0,1.0,0.218181818182,0.3125,0.0,0.25,0.0,0.0588235294118,0.8,0.384615384615,0.0,0.117647058824,0.0,0.111111111111,0.342857142857,0.344827586207,0.0,0.16,11,17,15,13,7,17,0,0,7,3,0,1,0,1,14,1,0,1,0,0,12,1,0,2,0,0,6,5,0,2,0,0,5,2,0,0,0,0,11,4,0,2
0,3,1,0,0.375,0.0,0.333333333333,0.555555555556,0.333333333333,0.0,0.358490566038,0.0,0.294117647059,0.357142857143,0.111111111111,0.0,0.95,0.0,0.3125,0.434782608696,0.166666666667,0.0,0.520547945205,13,17,14,9,7,20,0,7,0,0,0,6,0,5,0,0,0,12,0,0,5,1,0,8,0,0,4,1,0,4,0,3,0,0,0,4,0,0,0,1,0,19
0,3,1,1,0.1375,0.0,0.139240506329,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.244444444444,0.0,0.0,0.0,0.0,13,11,17,11,10,18,0,13,0,0,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,1,17,0,0,0,0
1,0,0,0,0.1125,0.0,0.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.202247191011,0.0,10,14,19,11,9,17,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,19,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,17,0
1,0,0,1,0.175,0.175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.297872340426,0.0,0.0,0.0,0.0,0.0,14,17,17,10,9,13,14,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0
1,0,1,0,0.275,0.259259259259,0.0,0.379310344828,0.428571428571,0.0,0.1,1.0,0.0,0.733333333333,0.272727272727,0.0,0.0526315789474,0.411764705882,0.0,0.5,0.333333333333,0.0,0.0689655172414,7,17,15,11,11,19,7,0,0,0,0,0,5,0,3,0,0,9,0,0,11,4,0,0,1,0,7,3,0,0,11,0,0,0,0,0,3,0,8,0,7,1
1,0,1,1,0.1875,0.194805194805,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.326086956522,0.0,0.0,0.0,0.0,0.0,15,20,13,12,7,13,15,0,0,0,0,0,17,0,0,0,0,3,13,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0
1,2,0,0,0.225,0.714285714286,0.170212765957,0.0,0.0,0.125,1.0,0.454545454545,0.666666666667,0.0,0.0,0.333333333333,0.0952380952381,0.555555555556,0.271186440678,0.0,0.0,0.181818181818,0.173913043478,11,12,8,19,9,21,5,5,0,0,1,0,0,8,0,0,4,0,0,6,0,0,2,0,0,14,0,0,5,0,1,5,0,0,3,0,1,9,0,0,9,2
1,2,0,1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.0,0.0,0.0,0.0,0.0,8,19,18,10,12,13,8,0,0,0,0,0,19,0,0,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0
1,2,1,0,0.1875,0.0,0.0357142857143,0.0,0.0,0.0,0.269230769231,0.0,0.0555555555556,0.0,0.0,0.0,0.823529411765,0.0,0.0434782608696,0.0,0.0,0.0,0.405797101449,9,18,14,12,10,17,0,5,0,0,0,4,0,1,0,0,0,17,0,6,0,0,0,8,0,5,0,0,0,7,0,8,0,0,0,2,0,3,0,0,0,14
1,2,1,1,0.175,0.175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.297872340426,0.0,0.0,0.0,0.0,0.0,14,14,14,12,6,20,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0,0,0
