sources,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0_1_2,3,0,0,0.9625,1.0,0.933333333333,0.923076923077,0.928571428571,1.0,1.0,1.0,0.875,1.0,1.0,0.916666666667,1.0,1.0,0.903225806452,0.96,0.962962962963,0.95652173913,1.0,13,16,12,13,12,14,13,0,0,0,0,0,0,14,1,1,0,0,0,0,12,0,0,0,0,0,0,13,0,0,0,1,0,0,11,0,0,0,0,0,0,14
0_1_2,3,0,6,0.3375,0.0,0.318181818182,0.0,0.392857142857,0.0,0.25,0.0,0.7,0.0,1.0,0.0,0.1,0.0,0.4375,0.0,0.564102564103,0.0,0.142857142857,11,20,13,11,5,20,0,5,0,2,0,4,0,14,0,6,0,0,0,2,0,9,0,2,0,0,0,11,0,0,0,5,0,0,0,0,0,18,0,0,0,2
0_1_2,3,0,1,0.325,0.0,0.214285714286,0.666666666667,0.325581395349,0.0,0.0,0.0,0.666666666667,0.352941176471,0.875,0.0,0.0,0.0,0.324324324324,0.461538461538,0.474576271186,0.0,0.0,13,9,17,16,6,19,0,0,1,12,0,0,0,6,0,3,0,0,0,2,6,9,0,0,0,0,2,14,0,0,0,6,0,0,0,0,0,14,0,5,0,0
0_1_2,3,0,5,0.3125,0.0,0.32,0.444444444444,0.279069767442,1.0,0.0,0.0,0.533333333333,0.2,0.923076923077,0.0909090909091,0.0,0.0,0.4,0.275862068966,0.428571428571,0.166666666667,0.0,11,15,20,13,11,10,0,2,2,6,0,1,0,8,1,5,0,1,0,1,4,15,0,0,0,1,0,12,0,0,0,10,0,0,1,0,0,3,2,5,0,0
0_1_2,3,1,0,0.8375,1.0,0.9,0.857142857143,0.68,0.875,1.0,0.166666666667,0.6,1.0,1.0,0.875,0.9375,0.285714285714,0.72,0.923076923077,0.809523809524,0.875,0.967741935484,6,15,18,17,8,16,1,0,2,3,0,0,0,9,1,4,1,0,0,0,18,0,0,0,0,0,0,17,0,0,0,1,0,0,7,0,0,0,0,1,0,15
0_1_2,3,1,6,0.425,1.0,0.5625,0.0,0.290322580645,0.7,0.368421052632,0.166666666667,0.642857142857,0.0,1.0,0.5,0.5,0.285714285714,0.6,0.0,0.45,0.583333333333,0.424242424242,12,14,17,9,14,14,2,0,1,0,3,6,0,9,0,5,0,0,0,0,0,17,0,0,0,0,0,9,0,0,0,0,1,0,7,6,0,7,0,0,0,7
0_1_2,3,1,1,0.4125,1.0,0.45,0.416666666667,0.5,1.0,0.125,0.333333333333,0.6,0.588235294118,0.533333333333,0.142857142857,0.117647058824,0.5,0.514285714286,0.487804878049,0.516129032258,0.25,0.121212121212,9,15,17,15,7,17,3,0,1,0,0,5,0,9,3,2,0,1,0,0,10,5,0,2,0,1,4,8,0,2,0,2,0,0,1,4,0,8,6,1,0,2
0_1_2,3,1,5,0.3875,0.75,0.47619047619,0.5,0.333333333333,0.444444444444,0.117647058824,0.333333333333,0.625,0.35,0.625,0.444444444444,0.111111111111,0.461538461538,0.540540540541,0.411764705882,0.434782608696,0.444444444444,0.114285714286,9,16,20,8,9,18,3,0,0,0,2,4,0,10,3,0,2,1,0,3,7,5,0,5,1,1,1,5,0,0,0,0,0,0,4,5,0,7,3,5,1,2
0_1_2,3,3,0,0.9375,1.0,1.0,0.8125,0.923076923077,0.9,1.0,0.857142857143,0.882352941176,1.0,1.0,1.0,0.909090909091,0.923076923077,0.9375,0.896551724138,0.96,0.947368421053,0.952380952381,7,17,13,12,9,22,6,0,1,0,0,0,0,15,0,1,1,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,9,0,0,0,2,0,0,20
0_1_2,3,3,6,0.425,0.0,0.55,0.0,0.4,0.0,0.379310344828,0.0,0.785714285714,0.0,1.0,0.0,0.611111111111,0.0,0.647058823529,0.0,0.571428571429,0.0,0.468085106383,13,14,13,12,10,18,0,1,0,5,1,6,0,11,0,0,0,3,0,1,0,12,0,0,0,0,0,12,0,0,0,1,0,0,0,9,0,6,0,1,0,11
